Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Canada,CAN,2000,118875.336
Canada,CAN,2001,115218.68
Canada,CAN,2002,117915.38
Canada,CAN,2003,117365.12
Canada,CAN,2004,118078.05
Canada,CAN,2005,117744.78
Canada,CAN,2006,115953.484
Canada,CAN,2007,119162.195
Canada,CAN,2008,116483.24
Canada,CAN,2009,110670.64
Canada,CAN,2010,110559.9
Canada,CAN,2011,113536.91
Canada,CAN,2012,112691.195
Canada,CAN,2013,114203.96
Canada,CAN,2014,113402.445
Canada,CAN,2015,113089.45
Canada,CAN,2016,110354.42
Canada,CAN,2017,110793.88
Canada,CAN,2018,110273.83
Canada,CAN,2019,108308.13
Canada,CAN,2020,101338.05
Canada,CAN,2021,101458.65
China,CHN,2000,9334.937
China,CHN,2001,9797.8125
China,CHN,2002,10602.087
China,CHN,2003,12273.32
China,CHN,2004,14272.745
China,CHN,2005,16114.158
China,CHN,2006,17552.816
China,CHN,2007,18955.008
China,CHN,2008,19560.701
China,CHN,2009,20281.068
China,CHN,2010,21550.486
China,CHN,2011,23088.703
China,CHN,2012,23870.404
China,CHN,2013,24596.934
China,CHN,2014,25148.887
China,CHN,2015,25315.799
China,CHN,2016,25591.42
China,CHN,2017,26315.52
China,CHN,2018,27224.191
China,CHN,2019,28116.959
China,CHN,2020,28769.54
China,CHN,2021,30711.195
Germany,DEU,2000,48903.703
Germany,DEU,2001,49841.39
Germany,DEU,2002,49257.79
Germany,DEU,2003,49300.902
Germany,DEU,2004,49342.41
Germany,DEU,2005,48793.566
Germany,DEU,2006,50043.035
Germany,DEU,2007,47958.13
Germany,DEU,2008,48445.99
Germany,DEU,2009,45436.277
Germany,DEU,2010,47305.82
Germany,DEU,2011,45571.508
Germany,DEU,2012,46132.67
Germany,DEU,2013,47361.547
Germany,DEU,2014,45298.11
Germany,DEU,2015,46037.19
Germany,DEU,2016,46646.97
Germany,DEU,2017,47084.938
Germany,DEU,2018,45753.93
Germany,DEU,2019,44441.184
Germany,DEU,2020,41190.617
Germany,DEU,2021,42101.04
India,IND,2000,3518.6824
India,IND,2001,3469.8364
India,IND,2002,3519.717
India,IND,2003,3583.3396
India,IND,2004,3826.2058
